25/05-14:04:53	|	SENT: example@mail.com
26/05-13:24:46 	 | 	 FAIL: kanye@west.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad52d438403sm1634218466b.123 - gsmtp')

26/05-13:25:23 	 | 	 FAIL: testaddress@gmail.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 4fb4d7f45d1cf-60464875b8csm2047950a12.76 - gsmtp')
26/05-13:25:24 	 | 	 FAIL: kanye@west.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 4fb4d7f45d1cf-6005a6e6371sm16063454a12.40 - gsmtp')

26/05-13:49:09 	 | 	 FAIL: testaddress@gmail.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 4fb4d7f45d1cf-604a556c6f4sm1449844a12.30 - gsmtp')
26/05-13:49:09 	 | 	 FAIL: kanye@west.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 4fb4d7f45d1cf-602e336e990sm3423802a12.67 - gsmtp')

26/05-13:50:34 	|	 FAIL: testaddress@gmail.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 4fb4d7f45d1cf-601f1c598c2sm11463590a12.78 - gsmtp')
26/05-13:50:34 	|	 FAIL: kanye@west.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad52d4ca3bdsm1646650666b.160 - gsmtp')

26/05-13:56:30 	|	 FAIL: testaddress@gmail.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad5d2c6dbbbsm610573366b.117 - gsmtp')
26/05-13:57:07 	|	 FAIL: testaddress@gmail.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 4fb4d7f45d1cf-6038bd37befsm3077387a12.61 - gsmtp')
26/05-13:57:18 	|	 FAIL: kanye@west.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad882046cb5sm33980166b.55 - gsmtp')

26/05-13:58:47 	|	 FAIL: testaddress@gmail.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad8848c2471sm21854066b.131 - gsmtp')
26/05-13:58:57 	|	 FAIL: kanye@west.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 4fb4d7f45d1cf-604b1e63e44sm1360596a12.52 - gsmtp')

26/05-13:59:44 	|	 FAIL: testaddress@gmail.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 4fb4d7f45d1cf-602047c4b73sm10217607a12.10 - gsmtp')
26/05-13:59:55 	|	 FAIL: kanye@west.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad52d498b4bsm1683341966b.148 - gsmtp')

26/05-14:00:51 	|	 FAIL: testaddress@gmail.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 4fb4d7f45d1cf-6048f06d915sm1751464a12.70 - gsmtp')
26/05-14:01:02 	|	 FAIL: kanye@west.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad52d4cbe90sm1650433766b.165 - gsmtp')

26/05-14:01:14 	|	 FAIL: testaddress@gmail.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 4fb4d7f45d1cf-6045d9ed757sm2564172a12.59 - gsmtp')
26/05-14:01:25 	|	 FAIL: kanye@west.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad52d438403sm1639086766b.123 - gsmtp')

26/05-14:01:36 	|	 FAIL: testaddress@gmail.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 4fb4d7f45d1cf-602c0256b2asm4014596a12.64 - gsmtp')
26/05-14:01:48 	|	 FAIL: kanye@west.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad52d4ca827sm1649713466b.163 - gsmtp')

26/05-14:03:18 	|	 FAIL: testaddress@gmail.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad52d49889asm1683411666b.141 - gsmtp')
26/05-14:03:29 	|	 FAIL: kanye@west.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad52d4967c9sm1656281766b.129 - gsmtp')

26/05-14:04:01 	|	 FAIL: testaddress@gmail.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 4fb4d7f45d1cf-602c2080534sm3871031a12.63 - gsmtp')
26/05-14:04:11 	|	 FAIL: kanye@west.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 4fb4d7f45d1cf-6004d4f2cd8sm15783261a12.15 - gsmtp')

26/05-14:04:18 	|	 FAIL: testaddress@gmail.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 4fb4d7f45d1cf-6021031bb84sm9565882a12.50 - gsmtp')
26/05-14:04:24 	|	 FAIL: kanye@west.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad52d4395d0sm1656307666b.114 - gsmtp')

26/05-14:19:58 	|	 FAIL: testaddress@gmail.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad52d498f18sm1657806766b.150 - gsmtp')
26/05-14:20:04 	|	 FAIL: kanye@west.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 4fb4d7f45d1cf-60453cd1abdsm2812676a12.69 - gsmtp')

26/05-14:20:28 	|	 FAIL: testaddress@gmail.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad52d4967c9sm1658681766b.129 - gsmtp')
26/05-14:20:34 	|	 FAIL: kanye@west.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 4fb4d7f45d1cf-602b76b74ecsm4583448a12.66 - gsmtp')

26/05-14:23:57 	|	 FAIL: testaddress@gmail.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad52d04e699sm1678780766b.14 - gsmtp')
26/05-14:24:02 	|	 FAIL: kanye@west.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad52d278247sm1650579266b.76 - gsmtp')

26/05-14:50:00 	|	 FAIL: testaddress@gmail.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 4fb4d7f45d1cf-6038bd37befsm3149016a12.61 - gsmtp')
26/05-14:50:06 	|	 FAIL: kanye@west.com 	 ERROR: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad534ad59dasm1628572066b.31 - gsmtp')

